# All data in vosa format
#
#                  Object                      RA                     DEC                  D (pc)                      Av                FilterID                Obs.Flux               Obs.Error             Point Props                         
#                   (---)                   (deg)                   (deg)                    (pc)                   (---)                   (---)           (erg/s/cm2/A)           (erg/s/cm2/A)                   (---)                   (---) 
#=================================================================================================================================================================================================================================================
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---         GALEX/GALEX.FUV     4.0617151221176E-15     3.3211211959892E-16                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---            Misc/APASS.B     3.0615057392567E-14     2.7633559711127E-15                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---            SLOAN/SDSS.g      4.247490399823E-14     4.1076873924525E-15                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---          GAIA/GAIA2.Gbp     5.3739861749797E-14                       0                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---            Misc/APASS.V     5.2354759726771E-14     4.3398464145893E-15                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---            SLOAN/SDSS.r     6.4775912230237E-14     5.4887954358208E-15                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---            GAIA/GAIA2.G      6.489241052563E-14                       0                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---            SLOAN/SDSS.i      6.838495621004E-14     6.1095326132664E-15                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---          GAIA/GAIA2.Grp     7.2090010582804E-14                       0                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---           DENIS/DENIS.I     6.6058509655519E-14     1.8252640751784E-15               nofit,bad    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---           DENIS/DENIS.J     4.7938777414001E-14     2.2076622849968E-15                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---           2MASS/2MASS.J     5.2650871370895E-14      1.163837870897E-15                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---           2MASS/2MASS.H     3.4948610200788E-14      7.403437695966E-16                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---          DENIS/DENIS.Ks     1.4932118465219E-14     8.2517936123601E-16                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---          2MASS/2MASS.Ks     1.6163971439142E-14     2.8286378956306E-16                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---            WISE/WISE.W1     3.1672641005204E-15     6.7094634951589E-17                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---            WISE/WISE.W2     1.0747739586086E-15     2.0787971361616E-17                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---           AKARI/IRC.S9W     4.6182658060307E-16      1.310648781002E-17                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---          IRAS/IRAS.12mu     7.2800065097214E-16                       0                   uplim    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---            WISE/WISE.W3      2.217793396721E-16     3.0639948087782E-18                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---          IRAS/IRAS.25mu     2.5657868590467E-16     4.8749950321888E-17                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---            WISE/WISE.W4     2.4072783752774E-16     4.6560891733446E-18                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---          IRAS/IRAS.60mu     1.1868232589067E-16     1.3055055847973E-17                     ---    excfil:AKARI/IRC.S9W 
           RXJ1615.3-3255          243.8342583333              -32.918195                ---+----                     ---         IRAS/IRAS.100mu     2.5154534302992E-16                       0                   uplim    excfil:AKARI/IRC.S9W 
  
