# Object final SED
#
# Object = RXJ1615.3-3255 
# RA = 243.8342583333 deg
# DEC = -32.918195 deg
# Av = --- 
#
#           FilterID         Wavelength               Obs.Flux              Obs.Error                   Flux                  Error    Excess    Point Props          Service               dis (VO)    dis_2 (VO)    Nobjs    Obs.Qua (VO)              RA (VO)              DEC (VO) 
#              (---)                (A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)     (---)          (---)            (---)                  (deg)         (deg)    (---)           (---)                (deg)                 (deg) 
#======================================================================================================================================================================================================================================================================================
     GALEX/GALEX.FUV    1542.2640928992    4.0617151221176E-15    3.3211211959892E-16    4.0617151221176E-15    3.3211211959892E-16         0            ---        galex.FUV    0.00025583879699667           ---        1             ---     243.834534832074     -32.9180873853489 
        Misc/APASS.B    4297.1691826842    3.0615057392567E-14    2.7633559711127E-15    3.0615057392567E-14    2.7633559711127E-15         0            ---          apass.B     3.1066100129896E-5           ---        1             ---         243.83426800          -32.91816500 
        SLOAN/SDSS.g    4640.4198339016     4.247490399823E-14    4.1076873924525E-15     4.247490399823E-14    4.1076873924525E-15         0            ---          apass.g     3.1066100129896E-5           ---        1             ---         243.83426800          -32.91816500 
      GAIA/GAIA2.Gbp               5050    5.3739861749797E-14                      0    5.3739861749797E-14                      0         0            ---        gaia2.Gbp     1.3660378340026E-5           ---        1             ---    243.8342669771133    -32.91818345684177 
        Misc/APASS.V    5394.2913582927    5.2354759726771E-14    4.3398464145893E-15    5.2354759726771E-14    4.3398464145893E-15         0            ---          apass.V     3.1066100129896E-5           ---        1             ---         243.83426800          -32.91816500 
        SLOAN/SDSS.r    6122.3296283695    6.4775912230237E-14    5.4887954358208E-15    6.4775912230237E-14    5.4887954358208E-15         0            ---          apass.r     3.1066100129896E-5           ---        1             ---         243.83426800          -32.91816500 
        GAIA/GAIA2.G               6230     6.489241052563E-14                      0     6.489241052563E-14                      0         0            ---          gaia2.G     1.3660378340026E-5           ---        1             ---    243.8342669771133    -32.91818345684177 
        SLOAN/SDSS.i    7439.4904529922     6.838495621004E-14    6.1095326132664E-15     6.838495621004E-14    6.1095326132664E-15         0            ---          apass.i     3.1066100129896E-5           ---        1             ---         243.83426800          -32.91816500 
      GAIA/GAIA2.Grp               7730    7.2090010582804E-14                      0    7.2090010582804E-14                      0         0            ---        gaia2.Grp     1.3660378340026E-5           ---        1             ---    243.8342669771133    -32.91818345684177 
       DENIS/DENIS.I       7862.1015966    6.6058509655519E-14    1.8252640751784E-15    6.6058509655519E-14    1.8252640751784E-15         0      nofit,bad          denis.I    0.00013517154034348           ---        1               4         243.83429300          -32.91806300 
       DENIS/DENIS.J      12210.6027581    4.7938777414001E-14    2.2076622849968E-15    4.7938777414001E-14    2.2076622849968E-15         0            ---          denis.J    0.00013517154034348           ---        1              ok         243.83429300          -32.91806300 
       2MASS/2MASS.J              12350    5.2650871370895E-14     1.163837870897E-15    5.2650871370895E-14     1.163837870897E-15         0            ---          2mass.J    0.00011113496486251           ---        1               A         243.83430500          -32.91809100 
       2MASS/2MASS.H              16620    3.4948610200788E-14     7.403437695966E-16    3.4948610200788E-14     7.403437695966E-16         0            ---          2mass.H    0.00011113496486251           ---        1               A         243.83430500          -32.91809100 
      DENIS/DENIS.Ks       21465.009653    1.4932118465219E-14    8.2517936123601E-16    1.4932118465219E-14    8.2517936123601E-16         0            ---         denis.Ks    0.00013517154034348           ---        1              ok         243.83429300          -32.91806300 
      2MASS/2MASS.Ks              21590    1.6163971439142E-14    2.8286378956306E-16    1.6163971439142E-14    2.8286378956306E-16         0            ---          2mass.K    0.00011113496486251           ---        1               A         243.83430500          -32.91809100 
        WISE/WISE.W1              33526    3.1672641005204E-15    6.7094634951589E-17    3.1672641005204E-15    6.7094634951589E-17         0            ---       allwise.W1     5.1318827570679E-5           ---        1             ---        243.834284200         -32.918148500 
        WISE/WISE.W2              46028    1.0747739586086E-15    2.0787971361616E-17    1.0747739586086E-15    2.0787971361616E-17         0            ---       allwise.W2     5.1318827570679E-5           ---        1             ---        243.834284200         -32.918148500 
       AKARI/IRC.S9W      82283.5545614    4.6182658060307E-16     1.310648781002E-17    4.6182658060307E-16     1.310648781002E-17         1            ---    akari_irc.S9W     7.0040667648857E-5           ---        1               3          243.8343100           -32.9182500 
      IRAS/IRAS.12mu      101464.582668    7.2800065097214E-16                      0    7.2800065097214E-16                      0         1          uplim         iras.I12    0.00026440254684873           ---        1               1           243.834075            -32.918410 
        WISE/WISE.W3             115608     2.217793396721E-16    3.0639948087782E-18     2.217793396721E-16    3.0639948087782E-18         1            ---       allwise.W3     5.1318827570679E-5           ---        1             ---        243.834284200         -32.918148500 
      IRAS/IRAS.25mu      217265.488922    2.5657868590467E-16    4.8749950321888E-17    2.5657868590467E-16    4.8749950321888E-17         1            ---         iras.I25    0.00026440254684873           ---        1               2           243.834075            -32.918410 
        WISE/WISE.W4             220883    2.4072783752774E-16    4.6560891733446E-18    2.4072783752774E-16    4.6560891733446E-18         1            ---       allwise.W4     5.1318827570679E-5           ---        1             ---        243.834284200         -32.918148500 
      IRAS/IRAS.60mu      519887.310614    1.1868232589067E-16    1.3055055847973E-17    1.1868232589067E-16    1.3055055847973E-17         1            ---         iras.I60    0.00026440254684873           ---        1               3           243.834075            -32.918410 
     IRAS/IRAS.100mu      952971.028738    2.5154534302992E-16                      0    2.5154534302992E-16                      0         1          uplim        iras.I100    0.00026440254684873           ---        1               1           243.834075            -32.918410 
